venue_id,venue_name,city,avg_first_innings_score,toss_defendy_win_percent,toss_chasey_win_percent
1,Wankhede Stadium,Mumbai,168.5,45.0,55.0
2,MA Chidambaram Stadium M. A. Chidambaram Stadium,Chennai,162.2,60.0,40.0
3,M. Chinnaswamy Stadium,Bengaluru,170.8,40.0,60.0
4,Eden Gardens,Kolkata,165.4,44.0,56.0
5,Arun Jaitley Stadium Feroz Shah Kotla,Delhi,163.1,48.0,52.0
6,Narendra Modi Stadium Motera,Ahmedabad,167.3,47.0,53.0
7,Rajiv Gandhi International Cricket Stadium,Hyderabad,161.8,46.0,54.0
8,Punjab Cricket Association IS Bindra Stadium Mohali,Chandigarh,166.2,43.0,57.0
